LASER NIS| 2.41094e-32
RADAR NIS| 74.139
LASER NIS| 0.904042
RADAR NIS| 2.6256
LASER NIS| 0.691174
RADAR NIS| 5.60849
LASER NIS| 0.710437
RADAR NIS| 6.28262
LASER NIS| 0.114163
RADAR NIS| 0.316197
LASER NIS| 1.11783
RADAR NIS| 1.67072
LASER NIS| 2.52641
RADAR NIS| 3.15432
LASER NIS| 0.178662
RADAR NIS| 1.7341
LASER NIS| 11.5256
RADAR NIS| 2.41223
LASER NIS| 2.66686
RADAR NIS| 1.51486
LASER NIS| 1.56009
RADAR NIS| 4.68662
LASER NIS| 2.9541
RADAR NIS| 0.635993
LASER NIS| 0.425196
RADAR NIS| 3.65738
LASER NIS| 2.68958
RADAR NIS| 4.09078
LASER NIS| 0.854751
RADAR NIS| 2.5377
LASER NIS| 0.50268
RADAR NIS| 6.33349
LASER NIS| 0.678139
RADAR NIS| 6.63286
LASER NIS| 0.736068
RADAR NIS| 4.30477
LASER NIS| 2.75736
RADAR NIS| 4.56635
LASER NIS| 1.12926
RADAR NIS| 4.0644
LASER NIS| 1.54471
RADAR NIS| 1.92806
LASER NIS| 1.99027
RADAR NIS| 0.982137
LASER NIS| 0.412146
RADAR NIS| 1.29464
LASER NIS| 0.826765
RADAR NIS| 0.981726
LASER NIS| 3.27071
RADAR NIS| 3.50182
LASER NIS| 2.45726
RADAR NIS| 10.7303
LASER NIS| 0.830748
RADAR NIS| 0.20201
LASER NIS| 0.508568
RADAR NIS| 1.58528
LASER NIS| 2.31244
RADAR NIS| 3.81319
LASER NIS| 1.06344
RADAR NIS| 2.46248
LASER NIS| 0.614493
RADAR NIS| 0.998303
LASER NIS| 0.256927
RADAR NIS| 1.75803
LASER NIS| 0.3464
RADAR NIS| 0.670236
LASER NIS| 0.464039
RADAR NIS| 4.53348
LASER NIS| 0.449808
RADAR NIS| 1.79098
LASER NIS| 0.249542
RADAR NIS| 3.33968
LASER NIS| 2.15983
RADAR NIS| 1.11039
LASER NIS| 0.774112
RADAR NIS| 0.632625
LASER NIS| 0.40621
RADAR NIS| 0.21705
LASER NIS| 2.50627
RADAR NIS| 0.63553
LASER NIS| 4.26998
RADAR NIS| 4.19223
LASER NIS| 0.962055
RADAR NIS| 0.318618
LASER NIS| 1.42994
RADAR NIS| 2.32612
LASER NIS| 4.27154
RADAR NIS| 0.620543
LASER NIS| 4.29174
RADAR NIS| 1.03509
LASER NIS| 2.88705
RADAR NIS| 2.74831
LASER NIS| 0.651925
RADAR NIS| 7.06072
LASER NIS| 0.767062
RADAR NIS| 2.87044
LASER NIS| 1.92352
RADAR NIS| 4.86687
LASER NIS| 0.00430184
RADAR NIS| 10.4009
LASER NIS| 4.88233
RADAR NIS| 3.83983
LASER NIS| 1.07306
RADAR NIS| 3.06706
LASER NIS| 1.91432
RADAR NIS| 2.10749
LASER NIS| 1.04854
RADAR NIS| 1.31343
LASER NIS| 1.30971
RADAR NIS| 0.826052
LASER NIS| 0.334237
RADAR NIS| 1.37536
LASER NIS| 1.16445
RADAR NIS| 3.42489
LASER NIS| 2.20933
RADAR NIS| 7.72195
LASER NIS| 3.78029
RADAR NIS| 1.39719
LASER NIS| 0.0154317
RADAR NIS| 1.8944
LASER NIS| 0.763168
RADAR NIS| 0.285241
LASER NIS| 0.106231
RADAR NIS| 6.37679
LASER NIS| 1.77354
RADAR NIS| 6.1967
LASER NIS| 3.80773
RADAR NIS| 2.25634
LASER NIS| 0.901967
RADAR NIS| 2.09408
LASER NIS| 1.13426
RADAR NIS| 6.61875
LASER NIS| 0.455287
RADAR NIS| 1.81617
LASER NIS| 0.353018
RADAR NIS| 2.99499
LASER NIS| 2.73362
RADAR NIS| 3.23542
LASER NIS| 0.853304
RADAR NIS| 10.105
LASER NIS| 0.772045
RADAR NIS| 3.17776
LASER NIS| 1.35993
RADAR NIS| 5.65512
LASER NIS| 1.80631
RADAR NIS| 2.19191
LASER NIS| 0.62306
RADAR NIS| 1.32345
LASER NIS| 0.753123
RADAR NIS| 0.365008
LASER NIS| 1.8006
RADAR NIS| 2.2685
LASER NIS| 0.159187
RADAR NIS| 1.78799
LASER NIS| 1.87449
RADAR NIS| 2.57948
LASER NIS| 0.16681
RADAR NIS| 0.922594
LASER NIS| 1.84498
RADAR NIS| 1.06277
LASER NIS| 0.676317
RADAR NIS| 4.11137
LASER NIS| 0.565499
RADAR NIS| 5.70367
LASER NIS| 3.42504
RADAR NIS| 1.01653
LASER NIS| 1.68684
RADAR NIS| 2.23183
LASER NIS| 1.11282
RADAR NIS| 1.49824
LASER NIS| 2.09569
RADAR NIS| 4.50514
LASER NIS| 2.74768
RADAR NIS| 0.122622
LASER NIS| 0.121775
RADAR NIS| 3.52913
LASER NIS| 3.4891
RADAR NIS| 0.215793
LASER NIS| 0.71949
RADAR NIS| 0.451776
LASER NIS| 0.340606
RADAR NIS| 2.81556
LASER NIS| 0.827144
RADAR NIS| 2.03913
LASER NIS| 1.30094
RADAR NIS| 1.74744
LASER NIS| 1.90569
RADAR NIS| 4.63489
LASER NIS| 0.732075
RADAR NIS| 1.47135
LASER NIS| 1.11645
RADAR NIS| 1.37447
LASER NIS| 2.10181
RADAR NIS| 7.10994
LASER NIS| 2.65238
RADAR NIS| 3.4086
LASER NIS| 1.16228
RADAR NIS| 2.4048
LASER NIS| 6.12059
RADAR NIS| 3.15459
LASER NIS| 0.0852678
RADAR NIS| 2.10464
LASER NIS| 0.511333
RADAR NIS| 4.99623
LASER NIS| 2.27351
RADAR NIS| 1.03733
LASER NIS| 1.70696
RADAR NIS| 2.113
LASER NIS| 0.836833
RADAR NIS| 0.95189
LASER NIS| 2.45792
RADAR NIS| 2.37254
LASER NIS| 0.512943
RADAR NIS| 1.83179
LASER NIS| 0.882033
RADAR NIS| 3.21414
LASER NIS| 3.60521
RADAR NIS| 1.01017
LASER NIS| 1.52476
RADAR NIS| 1.08456
LASER NIS| 3.2823
RADAR NIS| 3.58927
LASER NIS| 0.365827
RADAR NIS| 3.80159
LASER NIS| 0.533347
RADAR NIS| 2.76196
LASER NIS| 4.02535
RADAR NIS| 2.77573
LASER NIS| 2.04577
RADAR NIS| 1.46771
LASER NIS| 0.859951
RADAR NIS| 1.54729
LASER NIS| 1.92604
RADAR NIS| 0.494
LASER NIS| 0.81964
RADAR NIS| 2.54794
LASER NIS| 4.13064
RADAR NIS| 1.79178
LASER NIS| 0.14406
RADAR NIS| 2.80519
LASER NIS| 0.807659
RADAR NIS| 5.49785
LASER NIS| 0.665486
RADAR NIS| 5.50236
LASER NIS| 0.334445
RADAR NIS| 1.71688
LASER NIS| 2.58202
RADAR NIS| 4.08726
LASER NIS| 0.427174
RADAR NIS| 3.29408
LASER NIS| 1.65585
RADAR NIS| 2.15623
LASER NIS| 0.571895
RADAR NIS| 0.286013
LASER NIS| 2.14402
RADAR NIS| 2.14831
LASER NIS| 2.58716
RADAR NIS| 1.2279
LASER NIS| 0.660284
RADAR NIS| 4.0893
LASER NIS| 0.0108497
RADAR NIS| 0.715319
LASER NIS| 1.34792
RADAR NIS| 0.218379
LASER NIS| 0.675444
RADAR NIS| 3.93111
LASER NIS| 1.61737
RADAR NIS| 0.501187
LASER NIS| 4.92194
RADAR NIS| 1.11817
LASER NIS| 3.99399
RADAR NIS| 5.26543
LASER NIS| 1.54365
RADAR NIS| 26324.4
LASER NIS| 30.5248
RADAR NIS| 37007.1
LASER NIS| 9.07481
RADAR NIS| 16.7636
